Protocol,Local,Remote,inpps,outpps,inBpp,outBpp,inBoutB,inPoutP
TCP,192.168.2.1:5201,192.168.2.2:52474,334.718,216.72,13699.168,66.895,316.287,1.544
TCP,192.168.2.1:5201,192.168.2.2:52498,376.127,221.699,15122.362,66.591,385.279,1.697
TCP,192.168.2.1:5201,192.168.2.2:52512,342.224,217.078,16431.562,66.798,387.803,1.577
TCP,192.168.2.1:5201,192.168.2.2:52510,382.255,247.341,19796.217,66.505,460.028,1.545
TCP,192.168.2.1:5201,192.168.2.2:52506,394.412,215.914,13801.305,66.534,378.917,1.827
TCP,192.168.2.1:5201,192.168.2.2:52502,363.777,221.8,16359.268,66.516,403.374,1.64
TCP,192.168.2.1:5201,192.168.2.2:52454,60.221,53.529,84.222,67.5,1.404,1.125
TCP,192.168.2.1:5201,192.168.2.2:52460,379.175,266.386,19862.898,66.247,426.782,1.423
TCP,192.168.2.1:5201,192.168.2.2:52484,389.274,234.28,12546.706,66.448,313.74,1.662
TCP,192.168.2.1:5201,192.168.2.2:52460,329.108,229.556,18271.719,66.344,394.844,1.434
TCP,192.168.2.1:5201,192.168.2.2:52484,316.075,197.509,13606.992,66.473,327.582,1.6
TCP,192.168.2.1:5201,192.168.2.2:52506,318.086,187.755,12987.267,66.564,330.547,1.694
TCP,192.168.2.1:5201,192.168.2.2:52502,302.051,186.685,13003.338,66.661,315.612,1.618
TCP,192.168.2.1:5201,192.168.2.2:52454,60.221,53.529,84.222,67.5,1.404,1.125
TCP,192.168.2.1:5201,192.168.2.2:52510,306.45,192.967,17428.823,66.476,416.37,1.588
TCP,192.168.2.1:5201,192.168.2.2:52474,314.891,219.177,16977.258,66.379,367.452,1.437
TCP,192.168.2.1:5201,192.168.2.2:52498,306.481,183.563,12072.058,66.745,301.984,1.67
TCP,192.168.2.1:5201,192.168.2.2:52512,290.481,185.461,16955.551,66.437,399.731,1.566
TCP,192.168.2.1:5201,192.168.2.2:52510,277.361,166.744,15993.612,66.525,399.909,1.663
TCP,192.168.2.1:5201,192.168.2.2:52474,285.586,188.94,15762.883,66.475,358.418,1.512
TCP,192.168.2.1:5201,192.168.2.2:52498,282.06,166.455,12747.439,66.627,324.202,1.695
TCP,192.168.2.1:5201,192.168.2.2:52512,269.717,161.847,15059.417,66.567,377.012,1.666
TCP,192.168.2.1:5201,192.168.2.2:52484,289.538,176.061,13300.094,66.549,328.667,1.645
TCP,192.168.2.1:5201,192.168.2.2:52506,293.281,165.465,13435.534,66.553,357.822,1.772
TCP,192.168.2.1:5201,192.168.2.2:52502,279.831,169.459,14195.439,66.569,352.134,1.651
TCP,192.168.2.1:5201,192.168.2.2:52454,60.221,53.529,84.222,67.5,1.404,1.125
TCP,192.168.2.1:5201,192.168.2.2:52460,298.53,203.624,18252.852,66.37,403.2,1.466
TCP,192.168.2.1:5201,192.168.2.2:52510,288.705,173.982,15597.633,66.48,389.328,1.659
TCP,192.168.2.1:5201,192.168.2.2:52474,303.887,199.842,15739.505,66.505,359.884,1.521
TCP,192.168.2.1:5201,192.168.2.2:52498,300.875,183.765,14532.734,66.5,357.809,1.637
TCP,192.168.2.1:5201,192.168.2.2:52512,282.602,169.442,14681.737,66.58,367.784,1.668
TCP,192.168.2.1:5201,192.168.2.2:52460,315.404,216.661,18073.576,66.333,396.642,1.456
TCP,192.168.2.1:5201,192.168.2.2:52484,304.703,187.69,13891.334,66.487,339.192,1.623
TCP,192.168.2.1:5201,192.168.2.2:52506,305.456,176.074,13894.361,66.453,362.723,1.735
TCP,192.168.2.1:5201,192.168.2.2:52502,297.296,177.898,13910.033,66.527,349.419,1.671
TCP,192.168.2.1:5201,192.168.2.2:52454,60.221,53.529,84.222,67.5,1.404,1.125
TCP,192.168.2.1:5201,192.168.2.2:52506,317.424,191.905,15170.186,66.438,377.686,1.654
TCP,192.168.2.1:5201,192.168.2.2:52502,314.396,190.994,14372.646,66.471,355.928,1.646
TCP,192.168.2.1:5201,192.168.2.2:52454,60.221,53.529,84.222,67.5,1.404,1.125
TCP,192.168.2.1:5201,192.168.2.2:52460,328.423,223.362,17106.839,66.328,379.228,1.47
TCP,192.168.2.1:5201,192.168.2.2:52484,320.958,199.547,14298.57,66.492,345.878,1.608
TCP,192.168.2.1:5201,192.168.2.2:52474,321.061,211.045,15079.825,66.498,344.988,1.521
TCP,192.168.2.1:5201,192.168.2.2:52498,317.728,198.318,15862.745,66.421,382.62,1.602
TCP,192.168.2.1:5201,192.168.2.2:52512,317.816,206.851,16805.549,66.375,389.011,1.536
TCP,192.168.2.1:5201,192.168.2.2:52510,307.099,187.235,15484.192,66.474,382.059,1.64
